X,Y,id_sit,iniciat_1,iniciat_2,exp_org,ini_conv,ult_conv,lugar_fisi,territorio,direccion,comuna,cut,orden,plot,long,lat,cod_plus,facebook,instagram,convocator,raciones_n,dato_fte,fecha_ingr,hora_ingre,icon_url
-70.65544,-33.1834495,183.00000000000,acopio_solidario,,Punto Acopio Villa San Andrés,0.00000000000,200524.00000000000,,Villa San Andrés,Antonio Hurtado Duarte 2873,Colina,13301.00000000000,7.00000000000,si,-70.65544000000,-33.18344950000,47RFR88V+JR,https://www.facebook.com/groups/182826572982711/search/?query=Colina&epa=SEARCH_BOX,,"Apoyo mutuo y Autogestión. ¡Solo los pueblos ayudan a los pueblos! ¡Los pueblos, unidos, jamás serán vencidos!",,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.6755961,-33.1840394,184.00000000000,olla_comun,,Olla Común Villa San Antonio,0.00000000000,200524.00000000000,,Villa San Antonio,Pasaje La Tirana 2539,Colina,13301.00000000000,8.00000000000,si,-70.67559610000,-33.18403940000,47RFR88F+9Q,https://www.facebook.com/groups/182826572982711/search/?query=Colina&epa=SEARCH_BOX,,"Apoyo mutuo y Autogestión. ¡Solo los pueblos ayudan a los pueblos! ¡Los pueblos, unidos, jamás serán vencidos!",,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.6716678,-33.1841923,185.00000000000,olla_comun,,Olla Común Villa Santa María De Esmeralda,0.00000000000,200524.00000000000,,Villa Santa María De Esmeralda,Esther Hunneus de Claro 1836,Colina,13301.00000000000,9.00000000000,si,-70.67166780000,-33.18419230000,47RFR88H+88,https://www.facebook.com/groups/182826572982711/search/?query=Colina&epa=SEARCH_BOX,,"Apoyo mutuo y Autogestión. ¡Solo los pueblos ayudan a los pueblos! ¡Los pueblos, unidos, jamás serán vencidos!",,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.6719472,-33.1818476,186.00000000000,olla_comun,,Olla Común Valle Verde,0.00000000000,200524.00000000000,,Villa Valle Verde,Fernando Santivan 2090,Colina,13301.00000000000,10.00000000000,si,-70.67194720000,-33.18184760000,47RFR89H+76,https://www.facebook.com/groups/182826572982711/search/?query=Colina&epa=SEARCH_BOX,,"Apoyo mutuo y Autogestión. ¡Solo los pueblos ayudan a los pueblos! ¡Los pueblos, unidos, jamás serán vencidos!",,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.6641943,-33.1843298,187.00000000000,olla_comun,,Ollita Común Canadienses 2,0.00000000000,200524.00000000000,,,Óscar Cristi 1616,Colina,13301.00000000000,11.00000000000,si,-70.66419430000,-33.18432980000,47RFR88P+78,https://www.facebook.com/groups/182826572982711/search/?query=Colina&epa=SEARCH_BOX,,"Apoyo mutuo y Autogestión. ¡Solo los pueblos ayudan a los pueblos! ¡Los pueblos, unidos, jamás serán vencidos!",,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.6709161,-33.2067921,188.00000000000,olla_comun,,Olla Común Van Der Rest,0.00000000000,200524.00000000000,,,Costa azul 200,Colina,13301.00000000000,12.00000000000,si,-70.67091610000,-33.20679210000,47RFQ8VH+7J,https://www.facebook.com/groups/182826572982711/search/?query=Colina&epa=SEARCH_BOX,,"Apoyo mutuo y Autogestión. ¡Solo los pueblos ayudan a los pueblos! ¡Los pueblos, unidos, jamás serán vencidos!",,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.671915,-33.589706,189.00000000000,olla_comun,acopio_solidario,Campamento Santa Teresa,2012.00000000000,200524.00000000000,Sede Campamento,Población Santa Teresa,Santa Teresa 1490,San Bernardo,13401.00000000000,0.00000000000,si,-70.67191500000,-33.58970600000,47RFC86H+46,,,Campamento fundado en 2012.Solo el pueblo ayuda al pueblo,,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.6767138,-33.5998944,190.00000000000,olla_comun,,,0.00000000000,200526.00000000000,,Villa Cordillera 2,Condell 1344,San Bernardo,13401.00000000000,2.00000000000,si,-70.67671380000,-33.59989440000,47RFC82F+28,https://www.facebook.com/photo.php?fbid=10158451319869485&set=gm.184330216165680&type=3&theater,,El pueblo ayuda al pueblo,,OllasComunes_Chi_Wall,200526.00000000000,0.00000000000,./0.png
-70.8640889,-33.7440054,191.00000000000,olla_comun,,Organizaciones populares de Isla de Maipo,0.00000000000,200523.00000000000,Restaurant Sabroson Islita,La Islita,Balmaceda 3563,Isla de Maipo,13603.00000000000,0.00000000000,si,-70.86408890000,-33.74400540000,47RF744P+99,https://www.facebook.com/pg/Sabros%C3%B3n-Islita-112885826085147/posts/,,Sabado y Domingo.Ante la pandemia la respuesta es solidaria. El pueblo ayuda al pueblo,,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.8667616,-33.7487786,192.00000000000,acopio_solidario,,Organizaciones populares de Isla de Maipo,0.00000000000,200523.00000000000,,Sector Cancha Carreras,Elías Contreras 2180,Isla de Maipo,13603.00000000000,2.00000000000,si,-70.86676160000,-33.74877860000,47RF743J+5M,,,Ante la pandemia la respuesta es solidaria. El pueblo ayuda al pueblo,,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.9002838,-33.7547913,193.00000000000,acopio_solidario,,Organizaciones populares de Isla de Maipo,0.00000000000,200523.00000000000,Parroquia Nuestra Señora de La Merced,Sector Cancha Carreras,Santelices 432,Isla de Maipo,13603.00000000000,3.00000000000,si,-70.90028380000,-33.75479130000,47RF63WX+3V,,,Ante la pandemia la respuesta es solidaria. El pueblo ayuda al pueblo,,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.8644825,-33.749372,194.00000000000,acopio_solidario,,Organizaciones populares de Isla de Maipo,0.00000000000,200523.00000000000,,Sector El Gomero,Las tórtolas 207,Isla de Maipo,13603.00000000000,4.00000000000,si,-70.86448250000,-33.74937200000,47RF742P+76,,,Ante la pandemia la respuesta es solidaria. El pueblo ayuda al pueblo,,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.8612444,-33.735324,195.00000000000,acopio_solidario,,Organizaciones populares de Isla de Maipo,0.00000000000,200523.00000000000,,Sector El Maiten,El tamarugo 4490,Isla de Maipo,13603.00000000000,5.00000000000,si,-70.86124440000,-33.73532400000,47RF747Q+VG,,,Ante la pandemia la respuesta es solidaria. El pueblo ayuda al pueblo,,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.8609012,-33.7286401,196.00000000000,acopio_solidario,,Organizaciones populares de Isla de Maipo,0.00000000000,200523.00000000000,,Sector Lonquén,El recreo 796,Isla de Maipo,13603.00000000000,6.00000000000,si,-70.86090120000,-33.72864010000,47RF74CQ+GJ,,,Ante la pandemia la respuesta es solidaria. El pueblo ayuda al pueblo,,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.8896993,-33.7538178,197.00000000000,acopio_solidario,olla_comun,Organizaciones populares de Isla de Maipo,0.00000000000,200523.00000000000,,Sector Villa Nevada,Farellones 277,Isla de Maipo,13603.00000000000,7.00000000000,si,-70.88969930000,-33.75381780000,47RF64W6+F4,,,Lunes y miercoles. Ante la pandemia la respuesta es solidaria. El pueblo ayuda al pueblo,,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.8665358,-33.7476209,199.00000000000,olla_comun,,Organizaciones populares de Isla de Maipo,0.00000000000,200523.00000000000,Iglesia Católica Nuestra Señora del Carmen,,Balmaceda 3144,Isla de Maipo,13603.00000000000,9.00000000000,si,-70.86653580000,-33.74762090000,47RF742M+X9,,,"Lunes, miercoles y viernes.Ante la pandemia la respuesta es solidaria. El pueblo ayuda al pueblo",,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.9042704,-33.777644,200.00000000000,acopio_solidario,,Corporacion Memoria Lonquén,0.00000000000,200524.00000000000,Sede Corporacion Memoria Lonquén,La Villita,Galvez 2121,Isla de Maipo,13603.00000000000,10.00000000000,si,-70.90427040000,-33.77764400000,47RF63CW+W7,https://www.facebook.com/photo.php?fbid=10216355985639336&set=gm.183304256268276&type=3&theater&ifg=1,,,,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.812667,-33.584038,201.00000000000,olla_comun,,Colectivo Octubre Combativo,200524.00000000000,200525.00000000000,Plaza Villa Chiloé,Villa Chiloé,"Plaza Villa Chiloé, costado CESFAM Juan Pablo II",Padre Hurtado,13604.00000000000,0.00000000000,si,-70.81266700000,-33.58403800000,47RFC58P+9W,@octubre.combativo.3,,"En Padre Hurtado, el pueblo ayuda al pueblo",,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
